index,Address,State,City,Postal Code,Index,Location,Latitude,Longitude
145,411 Colusa Ave,CA,Yuba City,95991,146,"411 Colusa Ave Yuba City, CA",39.141783,-121.61551
146,4130 Northgate Blvd,CA,Sacramento,95834,147,"4130 Northgate Blvd Sacramento, CA",38.644466,-121.47571
147,4250 El Camino Ave. ,CA,Sacramento,95821,148,"4250 El Camino Ave.  Sacramento, CA",38.609896,-121.364811
148,1234 Howe Ave,CA,Sacramento,95825,149,"1234 Howe Ave Sacramento, CA",38.588456,-121.414518
149,5140 Stockton Blvd,CA,Sacramento ,95820,150,"5140 Stockton Blvd Sacramento , CA",38.52872,-121.444933
150,81 - 776 Highway 111,CA,Indio,92201,151,"81 - 776 Highway 111 Indio, CA",33.82086,-116.494233
151,44175 Jefferson St,CA,La Quinta,92253,152,"44175 Jefferson St La Quinta, CA",33.727881,-116.268951
152,864 N Prospect St,CA,Porterville,93257,153,"864 N Prospect St Porterville, CA",36.081528,-119.043874
153,2066 E. Prosperity Ave,CA,Tulare,93274,154,"2066 E. Prosperity Ave Tulare, CA",36.226126,-119.314825
154,2028 W. Ave I,CA,Lancaster,93536,155,"2028 W. Ave I Lancaster, CA",34.703924,-118.166654
155,2560 E Palmdale Blvd,CA,Palmdale,93550,156,"2560 E Palmdale Blvd Palmdale, CA",34.58009,-118.080502
156,44318 20th St E.,CA,Lancaster,93535,157,"44318 20th St E. Lancaster, CA",34.688903,-118.094633
157,213 S China Lake Blvd,CA,Ridgecrest,93555,158,"213 S China Lake Blvd Ridgecrest, CA",35.622265,-117.669958
158,728 S Mooney Blvd.,CA,Visalia,93277,159,"728 S Mooney Blvd. Visalia, CA",36.324528,-119.313871
159,827 S. Akers St,CA,Visalia,93277,160,"827 S. Akers St Visalia, CA",36.323433,-119.350426
160,213 S145  N. Alta Ave,CA,Dinuba ,93618,161,"213 S145  N. Alta Ave Dinuba , CA",36.552539,-119.39517
161,3150 N. Demaree St,CA,Visalia ,93291,162,"3150 N. Demaree St Visalia , CA",36.358006,-119.33197
162,21690 Bear Valley RD,CA,Apple Valley,92308,163,"21690 Bear Valley RD Apple Valley, CA",34.471913,-117.190563
163,14788 Bear Valley Road,CA,Victorville,92395,164,"14788 Bear Valley Road Victorville, CA",34.47144,-117.341162
164,1440 E Main St,CA,Barstow ,92311,165,"1440 E Main St Barstow , CA",34.894069,-117.004017
165,1152 Lemoore Ave,CA,Lemoore,93245,166,"1152 Lemoore Ave Lemoore, CA",36.314489,-119.780462
166,1791 W. Lacey Blvd,CA,Hanford,93230,167,"1791 W. Lacey Blvd Hanford, CA",36.327708,-119.675581
167,1765 Simpson St,CA,Kingsburg,93631,168,"1765 Simpson St Kingsburg, CA",36.516577,-119.557681
168,1517 Columbus St,CA,Bakersfield,93305,169,"1517 Columbus St Bakersfield, CA",35.397234,-118.974638
169,15 S. Chester Ave,CA,Bakersfield,93304,170,"15 S. Chester Ave Bakersfield, CA",35.35325,-119.019226
170,2901 Calloway Dr,CA,Bakersfield,93312,171,"2901 Calloway Dr Bakersfield, CA",35.387252,-119.110347
171,3302 California Avenue,CA,Bakersfield,93304,172,"3302 California Avenue Bakersfield, CA",35.369001,-119.039899
172,2915 Panama Ln,CA,Bakersfield,93313,173,"2915 Panama Ln Bakersfield, CA",35.295775,-119.036371
173,1790 N Broadway,CA,Santa Maria,93454,174,"1790 N Broadway Santa Maria, CA",34.971881,-120.435102
174,1259 E Grand Ave.,CA,Arroyo Grande,93420,175,"1259 E Grand Ave. Arroyo Grande, CA",35.120405,-120.603245
175,812 N. H Street,CA,Lompoc,93436,176,"812 N. H Street Lompoc, CA",34.650838,-120.457415
176,32690 Yucaipa Blvd,CA,Yucaipa,92399,177,"32690 Yucaipa Blvd Yucaipa, CA",34.034493,-117.091736
177,1208 E. Park St.,CA,Hollister,95023,178,"1208 E. Park St. Hollister, CA",36.843502,-121.397178
178,13322 Limonite Ave,CA,Eastvale,92880,179,"13322 Limonite Ave Eastvale, CA",33.975227,-117.574508
179,6671 W Colfax Ave,CO,Lakewood,80214,180,"6671 W Colfax Ave Lakewood, CO",39.740598,-105.069949
180,10855 South US Highway 285,CO,Conifer,80433,181,"10855 South US Highway 285 Conifer, CO",39.519353,-105.306045
181,45 Union Blvd,CO,Lakewood,80228,182,"45 Union Blvd Lakewood, CO",39.715294,-105.13383
182,7960 S Broadway,CO,Littleton,80122,183,"7960 S Broadway Littleton, CO",39.572213,-104.987892
183,7541 W Bowles Ave,CO,Litleton ,80123,184,"7541 W Bowles Ave Litleton , CO",39.610202,-105.081293
184,15431 E 104th Ave ,CO,Commerce City,80022,185,"15431 E 104th Ave  Commerce City, CO",39.885955,-104.807838
185,41 west 84th Avenue,CO,Thornton,80260,186,"41 west 84th Avenue Thornton, CO",39.849357,-104.98817
186,933 Main St,CO,Longmont,80501,187,"933 Main St Longmont, CO",40.175307,-105.102785
187,4601 Peoria St,CO,Denver,80239,188,"4601 Peoria St Denver, CO",39.779984,-104.847834
188,14650 E Colfax,CO,Aurora,80011,189,"14650 E Colfax Aurora, CO",39.739558,-104.817287
189,4320 Austin Bluffs Pkwy,CO,Colorado Springs,80918,190,"4320 Austin Bluffs Pkwy Colorado Springs, CO",38.894269,-104.75175
190,870 W Garden of the Gods Rd.,CO,Colorado Springs,80907,191,"870 W Garden of the Gods Rd. Colorado Springs, CO",38.897071,-104.84286
191,11020 Cross Peak View,CO,Colorado Springs,80921,192,"11020 Cross Peak View Colorado Springs, CO",38.990852,-104.793572
192,6405 Source Center Point,CO,Colorado Springs,80923,193,"6405 Source Center Point Colorado Springs, CO",38.925904,-104.721144
193,7970 N Academy Blvd ,CO,Colorado Springs,80920,194,"7970 N Academy Blvd  Colorado Springs, CO",38.946951,-104.802754
194,125 W 43rd St,CO,Loveland,80538,195,"125 W 43rd St Loveland, CO",40.436815,-105.07781
195,2039 S Timberline Rd,CO,Fort Collins,80525,196,"2039 S Timberline Rd Fort Collins, CO",40.560464,-105.039692
196,103 Kensington Dr,CO,Fort Collins,80525,197,"103 Kensington Dr Fort Collins, CO",40.524594,-105.077596
197,2140 W Elizabeth Street,CO,Fort Collins,80521,198,"2140 W Elizabeth Street Fort Collins, CO",40.575219,-105.116751
198,975 N Lincoln Ave,CO,Loveland,80537,199,"975 N Lincoln Ave Loveland, CO",40.401969,-105.073451
199,1235 8th Ave,CO,Greeley,80631,200,"1235 8th Ave Greeley, CO",40.418628,-104.691265
200,301 E. Colorado Ave.,CO,Colorado Springs,80903,201,"301 E. Colorado Ave. Colorado Springs, CO",38.831986,-104.819439
201,1802 E. Platte Ave.,CO,Colorado Springs,80903,202,"1802 E. Platte Ave. Colorado Springs, CO",38.837623,-104.794114
202,1440 N. Circle Dr.,CO,Colorado Springs,80909,203,"1440 N. Circle Dr. Colorado Springs, CO",38.853919,-104.776193
203,624 S. 21st St.,CO,Colorado Springs,80904,204,"624 S. 21st St. Colorado Springs, CO",38.839507,-104.8594
204,4420 Edison Ave,CO,Colorado Springs,80915,205,"4420 Edison Ave Colorado Springs, CO",38.840432,-104.745952
205,901 Main St.,CO,Windsor,80550,206,"901 Main St. Windsor, CO",40.479578,-104.9115
206,4704 24th St.,CO,Greeley,80634,207,"4704 24th St. Greeley, CO",40.399325,-104.756701
207,16705 E Lliff Ave,CO,Aurora,80013,208,"16705 E Lliff Ave Aurora, CO",39.673776,-104.793437
208,14505 E Arapahoe RD,CO,Aurora,80016,209,"14505 E Arapahoe RD Aurora, CO",39.595635,-104.820229
209,270 W 136th,CO,Westminster,80234,210,"270 W 136th Westminster, CO",39.941857,-104.99262
210,200 W 104th,CO,Northglenn,80234,211,"200 W 104th Northglenn, CO",39.884725,-104.990076
211,10365 S. Parker Rd,CO,Parker,80134,212,"10365 S. Parker Rd Parker, CO",39.528735,-104.766971
212,248 Metzler Dr,CO,Castle Rock,80108,213,"248 Metzler Dr Castle Rock, CO",39.409357,-104.86021
213,321 N. Main St.,ID,Moscow,83843,214,"321 N. Main St. Moscow, ID",46.736882,-117.001799
214,118 W. Hanley Ave.,ID,Coeur D'Alene,83815,215,"118 W. Hanley Ave. Coeur D'Alene, ID",47.729725,-116.787151
215,1680 Northwest Blvd.,ID,Coeur D'Alene,83815,216,"1680 Northwest Blvd. Coeur D'Alene, ID",47.691005,-116.800191
216,3782 East Mullan Ave.,ID,Post Falls,83854,217,"3782 East Mullan Ave. Post Falls, ID",47.71563,-116.897265
217,143 Thain Rd.,ID,Lewiston,83501,218,"143 Thain Rd. Lewiston, ID",46.389295,-116.987959
218,1617 Main St.,ID,Lewiston,83501,219,"1617 Main St. Lewiston, ID",46.417762,-117.009053
